buy_times user_id buys
225 5476273 2465935,2465935,2465935,2465935,3104167,1078049,2465935,2465935,2465935,2465935,2465935,2465935,2465935,2465935,2465935,2465935,2465935,2465935,2465935,2465935,2465935,2465935,2465935,2465935,2465935,2465935,2465935,2465935,2465935,2465935,2465935,2465935,2465935,2465935,2465935,2465935,2465935,2465935,2465935,2465935,2465935,2465935,2465935,2332578,2465935,2838419,2838419,2465935,2465935,2838419,2838419,2465935,2838419,2465935,2838419,2465935,2465935,2838419,2465935,2838419,2465935,2838419,2465935,2838419,2465935,2838419,2465935,2838419,883773,2838419,3125658,2838419,2838419,2838419,578178,2838419,578178,2838419,578178,578178,2838419,578178,2838419,2838419,578178,2838419,578178,2002629,578178,2838419,578178,2838419,2838419,2465935,578178,2838419,578178,578178,2838419,2838419,578178,2838419,1644579,578178,578178,2838419,1644579,578178,2838419,578178,578178,2838419,578178,578178,578178,578178,1644579,578178,578178,578178,3081125,578178,578178,578178,2533188,578178,1956544,578178,578178,2838419,578178,578178,1644579,301267,266635,578178,578178,578178,578178,1644579,578178,2838419,2838419,578178,1644579,578178,2838419,578178,1644579,578178,578178,578178,2344466,2969613,1138349,2494548,578178,578178,578178,530952,530952,530952,578178,578178,530952,578178,578178,578178,530952,578178,530952,530952,578178,1644579,1644579,530952,578178,578178,1644579,530952,578178,1644579,530952,1962849,530952,578178,530952,530952,578178,578178,530952,530952,530952,578178,3125658,530952,530952,530952,530952,530952,578178,530952,578178,530952,530952,530952,454252,530952,454252,454252,454252,578178,454252,454252,913322,913322,913322,913322,913322,913322,913322,913322,913322,913322,2931632
211 368927 656314,656314,656314,2775337,784406,784406,2775337,1850343,1765198,1850343,2775337,3174770,2248942,3174770,2775337,2775337,748966,748966,2070379,2070379,830559,912420,268679,268679,404519,3034272,2834234,2834234,2743496,2743496,2973747,158449,158449,1773728,1558905,2476148,2476148,2747329,2476148,2747329,2778573,402832,35877,705559,3195228,2778573,3195228,1729816,1672147,518992,3144387,2476148,2094604,2094604,1165965,35877,2980189,2980189,3156047,3156047,2448801,891428,3096237,547131,985452,2102844,2119198,3131794,1329060,985452,2119198,1329060,2102844,3131794,547131,3096237,3129698,3129698,519154,519154,2448801,2813659,891168,3125774,891168,2448801,351925,322993,2699149,1739260,2448801,2448801,708518,1466974,2510497,1371070,1466974,2737441,2737441,909134,372321,1993570,439444,739335,1501820,1501820,1265830,1830114,1830114,2177303,2177303,976602,976602,976602,1501820,20739,894491,1501820,968189,1621143,376417,968189,1621143,620503,688888,1396498,1819193,1208094,2990594,2990594,2486156,1489418,2140046,2140046,1489418,2539492,1117932,2463658,3162230,2486156,3162230,1117932,1489418,1489418,2463658,2559250,2356899,2356899,1776654,1510928,1510928,1545299,2851961,2025064,2851961,53397,2025064,1983751,124906,53397,1211307,1510928,2016633,2016633,270821,124906,660767,1489418,270821,2463658,1489418,2016633,2463658,124906,1211307,1478026,1510928,1235774,989632,1302969,2016633,1510928,1944160,1944160,1982667,815013,1944160,2156580,2642869,815013,2156580,2772371,989632,1312191,489871,3234379,1982667,55181,55181,901674,4228,901674,3239164,3239164,556792,556792,2930415,2930415,928859,886068,3214064
194 915281 1260020,1936161,1267428,2962680,1936161,1267428,1260020,2962680,2962680,2907065,1267428,1936161,1195828,1260020,1267428,1195828,2962680,2907065,1936161,1260020,1741164,1195828,2907065,2962680,2676836,1936161,1267428,1260020,1496560,2676836,2962680,1267428,2907065,1260020,1936161,1195828,2962680,1624666,2962680,2676836,1496560,2962680,1897964,2676836,1624666,1496560,2676836,1624666,1897964,2962680,1496560,1496560,2962680,2676836,1624666,2962680,2676836,1496560,2029114,2080113,2029114,2001126,1741164,93035,2029114,2080113,2676836,1897964,3115314,1496560,1711568,1413687,1591495,2029114,2080113,2431192,93035,2029114,3115314,2080113,1591495,1741164,2001126,1537971,2676836,2962680,1496560,1413687,1711568,2029114,2080113,1741164,2080113,2029114,1741164,1537971,1413687,2029114,3115314,1591495,2080113,3115314,93035,1741164,2001126,1591495,1635113,1220177,2431192,3115314,1591495,2029114,1537971,1413687,2080113,3115314,2431192,3115314,2676836,1591495,1413687,1537971,3115314,1461473,2676836,3115314,2676836,1591495,1413687,1537971,2676836,3115314,1413687,1591495,1537971,1591495,1413687,1537971,1413687,1537971,1591495,3115314,2676836,1413687,3115314,2676836,1591495,1537971,654403,1461473,849978,1537971,1591495,1413687,3115314,2676836,1591495,2676836,1537971,1413687,3115314,1461473,2841426,2920159,2676836,3115314,1537971,1461473,3115314,2920159,2841426,2676836,1537971,654403,1537971,3115314,849978,2676836,1820913,654403,849978,654403,654403,849978,849978,654403,849978,654403,1224355,2502066,2645233,2315218,1224355,1383852
156 1198305 25784,41508,692345,2263319,3201634,2884563,25784,692345,219067,1451535,219067,692345,2295029,692345,692345,2295029,2615642,348449,2583536,843822,843822,1209929,843822,1703163,926441,1703163,1477724,918107,862627,926441,300367,2199969,1919529,2199969,1919529,3068408,2463501,3068408,2463501,2933129,926441,1271802,2101621,3020166,1757678,960499,988594,621696,1916857,2080216,2175342,678721,621696,1821773,237104,158559,1471704,621696,1357073,1721328,1394681,1477724,1471704,1471704,6712,2175342,552286,1886095,969665,1528035,1502680,2868963,1071286,969665,809502,1503376,1476411,969665,2541381,1503376,274376,1678375,2370433,2274323,643104,1347108,643104,2274323,2274323,2680810,361272,2680810,2370433,1537186,2447018,1912524,2190476,2438073,2837280,762486,2837280,2438073,1537186,2607113,2257329,2221261,2680810,3166705,1912524,914811,3166705,1912524,2476208,2274323,470280,470280,998855,308002,1031340,2999824,2860302,159005,3131014,1955772,1955772,2495586,909156,3242303,3114022,2999824,1691252,418302,470280,945324,1059449,159005,2274323,244728,465650,2483614,470280,2718610,2718610,707438,3151167,2679545,1229047,482689,2449258,1062946,1062946,2350258,1656191,2350258,3264729,2917475
107 12523679 1009967,1009967,1009967,1009967,1009967,1009967,1009967,1009967,1009967,1009967,1009967,1009967,1009967,1009967,1009967,1009967,1009967,2904192,1009967,1009967,1009967,1009967,1009967,1009967,1507641,1507641,2904192,1009967,1557653,1507641,1507641,1507641,1507641,1507641,1009967,1507641,1507641,1507641,1507641,1507641,1507641,1009967,1507641,1507641,1507641,1507641,1507641,430369,1009967,1009967,1507641,394228,1038642,78385,3106377,2284323,2284323,2284323,2284323,2284323,2284323,2284323,1320856,1276563,2284323,1320856,2284323,2284323,2284323,2160804,2284323,1619401,2284323,2160804,1619401,2988545,2988545,2284323,2988545,1150906,2595668,2792092,2838355,2838355,2838355,2838355,2838355,2107883,1154064,1154064,1281704,898442,647587,1546590,647587,1038642,1485294,1038642,1485294,647587,1485294,647587,1078015,647587,2227796,2227796,2227796
99 6349730 1536070,3206508,507668,1805575,2815077,2815077,1358882,3039970,1879533,3039970,1358882,2815077,1358882,1563998,2513115,2513115,1883098,1358882,2037687,1883098,1883098,1883098,1183998,1183998,1883098,2815077,1883098,2815077,1883098,3230494,2880962,1997116,1883098,1883098,1358882,1997116,1997116,1997116,1883098,1997116,1883098,1997116,2289338,2289338,1997116,2289338,2815077,2289338,1927075,2818168,1997116,2818168,858411,858411,2558157,2439406,1833588,305630,442526,442526,442526,633105,1059078,633105,1227960,2163405,1494315,125631,1138472,3114279,2880962,2054897,3075188,3075188,3075188,2729822,2729822,2163405,2163405,1472824,1390746,2214869,633105,1390746,314897,2214869,1536070,1536070,1726771,3137988,1726771,2214869,2697833,1127996,2303589,2054897,1536070,1519436,1494315
98 2501961 2339420,2339420,2339420,2339420,2339420,2339420,2339420,2339420,2339420,2339420,2339420,544220,2907022,2339420,2339420,2339420,2339420,2339420,2339420,2339420,2339420,2339420,2339420,2339420,2339420,2339420,2339420,2339420,2339420,2339420,2339420,2339420,474406,2339420,2339420,2339420,2339420,2339420,2339420,2339420,2339420,2339420,2339420,2339420,2339420,474406,1996335,2339420,2339420,2339420,2339420,2339420,2339420,2339420,2339420,474406,1996335,2339420,2339420,676342,2339420,2339420,474406,2339420,2339420,2339420,2339420,2339420,2339420,2339420,2339420,2339420,2339420,2339420,2339420,2339420,2339420,2339420,2339420,2339420,2339420,2339420,2339420,2339420,2339420,2339420,2339420,2339420,2339420,2339420,2339420,2339420,2339420,2339420,2339420,2339420,2339420,2339420
97 8172838 3005852,3005852,2578791,1881947,2578791,2578791,3005852,1338540,2578791,3005852,2578791,2578791,2578791,2578791,2386928,2386928,1889897,1889897,1889897,2348030,1889897,1889897,1889897,2736204,2736204,1889897,1875896,1889897,2736204,1889897,1889897,2253572,1889897,2736204,3052538,2736204,2578791,2417920,1053656,1889897,1889897,2736204,2578791,3025351,1889897,2578791,1889897,3025351,3025351,3025351,3025351,3025351,3025351,3025351,3025351,3025351,1889897,1889897,3025351,3025351,3025351,3025351,3025351,3025351,3025351,3025351,3025351,3025351,3025351,3025351,3025351,3025351,2578791,2253572,3025351,3025351,3025351,245140,3025351,3025351,2578791,2578791,245140,2253572,2810955,3025351,3025351,2619027,2578791,921762,187659,2348030,1889897,287196,2348030,2348030,2207459
95 10632806 268609,190616,3210944,953629,575539,856929,1272912,2217573,3009362,115014,3058943,660988,2967948,3031368,1201142,1071628,3181936,395300,122966,837840,2473719,47350,2342746,2380415,2521545,86000,3186649,2672772,2097165,1726227,746751,2016655,388247,513396,2984216,2346007,161799,1008975,2123762,243212,2169575,3056397,1308520,2907217,81984,375928,319147,1449717,1726227,189967,370258,1070266,175379,1207804,400524,1978286,3181873,3069789,2042032,90604,1675205,1172914,1859409,538072,2771944,119195,1550571,1747784,966782,1978603,2008959,621771,2670403,529273,1597437,2077084,279296,1815793,2132484,1586054,2863830,1488061,2789009,805473,1586054,944367,1488061,2172509,1521821,1297742,2424511,3027313,2234384,1441105,1466883
95 8756953 1002222,2418429,2418429,2418429,2452305,2418429,230190,2861636,567796,2567382,567796,2757234,1260440,971563,1742007,838720,838720,387904,696054,402262,3172063,696054,1878968,517736,1934144,338571,1934144,1722873,2846820,482794,338571,154371,3190293,1779026,3171354,113113,2933022,1429666,3119271,113113,1055995,113113,732990,1429666,848900,848900,1429666,1663714,708904,995687,623395,1927887,1498701,1258648,2872771,1626654,3120126,1072786,2027194,2608771,2608712,1079458,1079458,673409,1916257,2895725,1164857,373248,1164857,547431,3183702,1222224,1248797,2723828,749054,866267,1172248,1043103,3099475,3008979,2767430,3008979,2308802,437583,2097552,2078811,2345964,1969722,2081485,3094814,2356775,2961847,2625263,3094814,3094814
